gmina_name;date;ludnosc
Promna;2004-01-01;5650
Przedbórz;2004-01-01;7682
Przysucha;2004-01-01;12448
Radoszyce;2004-01-01;
Radzanów;2004-01-01;3864
Ręczno;2004-01-01;3685
Rokiciny;2004-01-01;5913
Rozprza;2004-01-01;11948
Ruda Maleniecka;2004-01-01;3390
Rusinów;2004-01-01;4451
Rzeczyca;2004-01-01;5041
Sadkowice;2004-01-01;5773
Secemin;2004-01-01;5307
Sławno;2004-01-01;7454
Słupia;2004-01-01;2672
Słupia Konecka;2004-01-01;3641
Smyków;2004-01-01;3681
Stąporków;2004-01-01;18531
Stromiec;2004-01-01;5693
Sulejów;2004-01-01;15375
Szczekociny;2004-01-01;8467
Tomaszów Mazowiecki miasto;2004-01-01;67159
Tomaszów Mazowiecki wiejski;2004-01-01;9663
Tuszyn;2004-01-01;11655
Ujazd;2004-01-01;7785
Warka;2004-01-01;18976
Wielgomłyny;2004-01-01;5008
Włodowice;2004-01-01;5278
Włoszczowa;2004-01-01;20487
Wola Krzysztoporska;2004-01-01;11535
Wolbórz;2004-01-01;
Wolbrom;2004-01-01;23470
Wyśmierzyce;2004-01-01;2909
Zagnańsk;2004-01-01;12724
Zawiercie;2004-01-01;53359
Żarnowiec;2004-01-01;5011
Żarnów;2004-01-01;6322
Żytno;2004-01-01;5814
Aleksandrów;2005-01-01;3188
Andrespol;2005-01-01;11635
Belsk Duży;2005-01-01;6801
Będków;2005-01-01;3538
Białaczów;2005-01-01;5989
Białobrzegi;2005-01-01;10261
Bliżyn;2005-01-01;8656
Błędów;2005-01-01;7925
Brójce;2005-01-01;5373
Budziszewice;2005-01-01;2221
Charsznica;2005-01-01;7827
Czarnocin;2005-01-01;4062
Czerniewice;2005-01-01;5126
Drzewica;2005-01-01;11075
Fałków;2005-01-01;4809
Gielniów;2005-01-01;4837
Głowaczów;2005-01-01;7331
Gorzkowice;2005-01-01;8636
Goszczyn;2005-01-01;2942
Gowarczów;2005-01-01;4991
Grabica;2005-01-01;6114
Grabów nad Pilicą;2005-01-01;3691
Inowłódz;2005-01-01;3886
Irządze;2005-01-01;2930
Kluczewsko;2005-01-01;5204
Klwów;2005-01-01;3476
Kobiele Wielkie;2005-01-01;4434
Kodrąb;2005-01-01;4729
Koluszki;2005-01-01;22941
Koniecpol;2005-01-01;10366
Końskie;2005-01-01;36490
Kozłów;2005-01-01;5028
Krasocin;2005-01-01;10776
Kroczyce;2005-01-01;6244
Lelów;2005-01-01;5243
Lubochnia;2005-01-01;7604
Łęki Szlacheckie;2005-01-01;3713
Łopuszno;2005-01-01;9013
Magnuszew;2005-01-01;6616
Masłowice;2005-01-01;4379
Mniów;2005-01-01;9231
Mniszków;2005-01-01;4811
Mogielnica;2005-01-01;9175
Moskorzew;2005-01-01;2965
Moszczenica;2005-01-01;12719
Niegowa;2005-01-01;5789
Nowe Miasto nad Pilicą;2005-01-01;8308
Nowosolna;2005-01-01;3729
Odrzywół;2005-01-01;4223
Ogrodzieniec;2005-01-01;9550
Opoczno;2005-01-01;35445
Paradyż;2005-01-01;4449
Pilica;2005-01-01;9158
Piotrków Trybunalski;2005-01-01;79670
Poświętne;2005-01-01;3346
Promna;2005-01-01;5619
Przedbórz;2005-01-01;7625
Przysucha;2005-01-01;12476
Radoszyce;2005-01-01;
Radzanów;2005-01-01;3882
Ręczno;2005-01-01;3665
Rokiciny;2005-01-01;5891
Rozprza;2005-01-01;12009
Ruda Maleniecka;2005-01-01;3383
Rusinów;2005-01-01;4456
Rzeczyca;2005-01-01;4984
Sadkowice;2005-01-01;5751
Secemin;2005-01-01;5198
Sławno;2005-01-01;7441
Słupia;2005-01-01;2667
Słupia Konecka;2005-01-01;3608
Smyków;2005-01-01;3694
Stąporków;2005-01-01;18387
Stromiec;2005-01-01;5641
Sulejów;2005-01-01;15540
Szczekociny;2005-01-01;8400
Tomaszów Mazowiecki miasto;2005-01-01;66859
Tomaszów Mazowiecki wiejski;2005-01-01;9782
Tuszyn;2005-01-01;11688
Ujazd;2005-01-01;7785
Warka;2005-01-01;18936
Wielgomłyny;2005-01-01;4977
Włodowice;2005-01-01;5295
Włoszczowa;2005-01-01;20484
Wola Krzysztoporska;2005-01-01;11547
Wolbórz;2005-01-01;
Wolbrom;2005-01-01;23441
Wyśmierzyce;2005-01-01;2896
Zagnańsk;2005-01-01;12753
Zawiercie;2005-01-01;53073
Żarnowiec;2005-01-01;4981
Żarnów;2005-01-01;6294
Żytno;2005-01-01;5744
Aleksandrów;2006-01-01;3194
Andrespol;2006-01-01;11741
Belsk Duży;2006-01-01;6800
Będków;2006-01-01;3508
Białaczów;2006-01-01;5973
Białobrzegi;2006-01-01;10327
Bliżyn;2006-01-01;8565
Błędów;2006-01-01;7889
Brójce;2006-01-01;5479
Budziszewice;2006-01-01;2200
Charsznica;2006-01-01;7808
Czarnocin;2006-01-01;4078
Czerniewice;2006-01-01;5114
Drzewica;2006-01-01;11087
Fałków;2006-01-01;4755
Gielniów;2006-01-01;4822
Głowaczów;2006-01-01;7263
Gorzkowice;2006-01-01;8637
Goszczyn;2006-01-01;2944
Gowarczów;2006-01-01;4977
Grabica;2006-01-01;6073
Grabów nad Pilicą;2006-01-01;3752
Inowłódz;2006-01-01;3873
Irządze;2006-01-01;2904
Kluczewsko;2006-01-01;5173
Klwów;2006-01-01;3441
Kobiele Wielkie;2006-01-01;4443
Kodrąb;2006-01-01;4709
Koluszki;2006-01-01;23015
Koniecpol;2006-01-01;10247
Końskie;2006-01-01;36291
Kozłów;2006-01-01;5001
Krasocin;2006-01-01;10781
Kroczyce;2006-01-01;6272
Lelów;2006-01-01;5200
Lubochnia;2006-01-01;7579
Łęki Szlacheckie;2006-01-01;3668
Łopuszno;2006-01-01;8987
Magnuszew;2006-01-01;6571
Masłowice;2006-01-01;4352
Mniów;2006-01-01;9240
Mniszków;2006-01-01;4779
Mogielnica;2006-01-01;9133
Moskorzew;2006-01-01;2937
Moszczenica;2006-01-01;12734
Niegowa;2006-01-01;5745
Nowe Miasto nad Pilicą;2006-01-01;8260
Nowosolna;2006-01-01;3847
Odrzywół;2006-01-01;4135
Ogrodzieniec;2006-01-01;9502
Opoczno;2006-01-01;35368
Paradyż;2006-01-01;4453
Pilica;2006-01-01;9078
Piotrków Trybunalski;2006-01-01;78954
Poświętne;2006-01-01;3307
Promna;2006-01-01;5613
Przedbórz;2006-01-01;7578
Przysucha;2006-01-01;12469
Radoszyce;2006-01-01;
Radzanów;2006-01-01;3886
Ręczno;2006-01-01;3630
Rokiciny;2006-01-01;5929
Rozprza;2006-01-01;12078
Ruda Maleniecka;2006-01-01;3345
Rusinów;2006-01-01;4458
Rzeczyca;2006-01-01;4957
Sadkowice;2006-01-01;5712
Secemin;2006-01-01;5128
Sławno;2006-01-01;7396
Słupia;2006-01-01;2654
Słupia Konecka;2006-01-01;3553
Smyków;2006-01-01;3706
Stąporków;2006-01-01;18317
Stromiec;2006-01-01;5634
Sulejów;2006-01-01;15589
Szczekociny;2006-01-01;8312
Tomaszów Mazowiecki miasto;2006-01-01;66606
Tomaszów Mazowiecki wiejski;2006-01-01;9916
Tuszyn;2006-01-01;11675
Ujazd;2006-01-01;7737
Warka;2006-01-01;18873
Wielgomłyny;2006-01-01;4959
Włodowice;2006-01-01;5290
Włoszczowa;2006-01-01;20446
Wola Krzysztoporska;2006-01-01;11607
Wolbórz;2006-01-01;
Wolbrom;2006-01-01;23424
Wyśmierzyce;2006-01-01;2884
Zagnańsk;2006-01-01;12759
Zawiercie;2006-01-01;52789
Żarnowiec;2006-01-01;4971
Żarnów;2006-01-01;6231
Żytno;2006-01-01;5660
Aleksandrów;2007-01-01;3200
Andrespol;2007-01-01;11986
Belsk Duży;2007-01-01;6742
Będków;2007-01-01;3509
Białaczów;2007-01-01;5952
Białobrzegi;2007-01-01;10323
Bliżyn;2007-01-01;8571
Błędów;2007-01-01;7844
Brójce;2007-01-01;5598
Budziszewice;2007-01-01;2166
Charsznica;2007-01-01;7784
Czarnocin;2007-01-01;4051
Czerniewice;2007-01-01;5094
Drzewica;2007-01-01;11076
Fałków;2007-01-01;4727
Gielniów;2007-01-01;4762
Głowaczów;2007-01-01;7223
Gorzkowice;2007-01-01;8649
Goszczyn;2007-01-01;2960
Gowarczów;2007-01-01;4757
Grabica;2007-01-01;6072
Grabów nad Pilicą;2007-01-01;3793
Inowłódz;2007-01-01;3837
Irządze;2007-01-01;2860
Kluczewsko;2007-01-01;5202
Klwów;2007-01-01;3482
Kobiele Wielkie;2007-01-01;4445
Kodrąb;2007-01-01;4725
Koluszki;2007-01-01;23006
Koniecpol;2007-01-01;10231
Końskie;2007-01-01;36417
Kozłów;2007-01-01;5003
Krasocin;2007-01-01;10745
Kroczyce;2007-01-01;6306
Lelów;2007-01-01;5170
Lubochnia;2007-01-01;7627
Łęki Szlacheckie;2007-01-01;3653
Łopuszno;2007-01-01;8966
Magnuszew;2007-01-01;6571
Masłowice;2007-01-01;4296
Mniów;2007-01-01;9242
Mniszków;2007-01-01;4754
Mogielnica;2007-01-01;9026
Moskorzew;2007-01-01;2941
Moszczenica;2007-01-01;12833
Niegowa;2007-01-01;5664
Nowe Miasto nad Pilicą;2007-01-01;8203
Nowosolna;2007-01-01;3955
Odrzywół;2007-01-01;4073
Ogrodzieniec;2007-01-01;9508
Opoczno;2007-01-01;35461
Paradyż;2007-01-01;4434
Pilica;2007-01-01;8985
Piotrków Trybunalski;2007-01-01;78475
Poświętne;2007-01-01;3273
Promna;2007-01-01;5608
Przedbórz;2007-01-01;7540
Przysucha;2007-01-01;12359
Radoszyce;2007-01-01;
Radzanów;2007-01-01;3888
Ręczno;2007-01-01;3616
Rokiciny;2007-01-01;5952
Rozprza;2007-01-01;12092
Ruda Maleniecka;2007-01-01;3300
Rusinów;2007-01-01;4405
Rzeczyca;2007-01-01;4909
Sadkowice;2007-01-01;5655
Secemin;2007-01-01;5081
Sławno;2007-01-01;7342
Słupia;2007-01-01;2642
Słupia Konecka;2007-01-01;3507
Smyków;2007-01-01;3721
Stąporków;2007-01-01;18126
Stromiec;2007-01-01;5610
Sulejów;2007-01-01;15750
Szczekociny;2007-01-01;8250
Tomaszów Mazowiecki miasto;2007-01-01;66232
Tomaszów Mazowiecki wiejski;2007-01-01;10045
Tuszyn;2007-01-01;11649
Ujazd;2007-01-01;7765
Warka;2007-01-01;18788
Wielgomłyny;2007-01-01;4881
Włodowice;2007-01-01;5291
Włoszczowa;2007-01-01;20384
Wola Krzysztoporska;2007-01-01;11641
Wolbórz;2007-01-01;
Wolbrom;2007-01-01;23381
Wyśmierzyce;2007-01-01;2894
Zagnańsk;2007-01-01;12785
Zawiercie;2007-01-01;52435
Żarnowiec;2007-01-01;4938
Żarnów;2007-01-01;6181
Żytno;2007-01-01;5594
Aleksandrów;2008-01-01;3225
Andrespol;2008-01-01;12104
Belsk Duży;2008-01-01;6759
Będków;2008-01-01;3462
Białaczów;2008-01-01;5948
Białobrzegi;2008-01-01;10394
Bliżyn;2008-01-01;8520
Błędów;2008-01-01;7789
Brójce;2008-01-01;5747
Budziszewice;2008-01-01;2173
Charsznica;2008-01-01;7706
Czarnocin;2008-01-01;4061
Czerniewice;2008-01-01;5121
Drzewica;2008-01-01;11037
Fałków;2008-01-01;4690
Gielniów;2008-01-01;4733
Głowaczów;2008-01-01;7202
Gorzkowice;2008-01-01;8651
Goszczyn;2008-01-01;2978
Gowarczów;2008-01-01;4770
Grabica;2008-01-01;6062
Grabów nad Pilicą;2008-01-01;3821
Inowłódz;2008-01-01;3845
Irządze;2008-01-01;2798
Kluczewsko;2008-01-01;5207
Klwów;2008-01-01;3451
Kobiele Wielkie;2008-01-01;4443
Kodrąb;2008-01-01;4768
Koluszki;2008-01-01;23108
Koniecpol;2008-01-01;10244
Końskie;2008-01-01;36348
Kozłów;2008-01-01;4977
Krasocin;2008-01-01;10766
Kroczyce;2008-01-01;6312
Lelów;2008-01-01;5157
Lubochnia;2008-01-01;7599
Łęki Szlacheckie;2008-01-01;3628
Łopuszno;2008-01-01;9005
Magnuszew;2008-01-01;6580
Masłowice;2008-01-01;4320
Mniów;2008-01-01;9272
Mniszków;2008-01-01;4750
Mogielnica;2008-01-01;9034
Moskorzew;2008-01-01;2931
Moszczenica;2008-01-01;12840
Niegowa;2008-01-01;5668
Nowe Miasto nad Pilicą;2008-01-01;8152
Nowosolna;2008-01-01;4082
Odrzywół;2008-01-01;4032
Ogrodzieniec;2008-01-01;9507
Opoczno;2008-01-01;35531
Paradyż;2008-01-01;4459
Pilica;2008-01-01;8994
Piotrków Trybunalski;2008-01-01;78149
Poświętne;2008-01-01;3265
Promna;2008-01-01;5628
Przedbórz;2008-01-01;7522
Przysucha;2008-01-01;12350
Radoszyce;2008-01-01;
Radzanów;2008-01-01;3863
Ręczno;2008-01-01;3622
Rokiciny;2008-01-01;5966
Rozprza;2008-01-01;12115
Ruda Maleniecka;2008-01-01;3252
Rusinów;2008-01-01;4403
Rzeczyca;2008-01-01;4902
Sadkowice;2008-01-01;5664
Secemin;2008-01-01;5042
Sławno;2008-01-01;7357
Słupia;2008-01-01;2618
Słupia Konecka;2008-01-01;3507
Smyków;2008-01-01;3714
Stąporków;2008-01-01;18062
Stromiec;2008-01-01;5640
Sulejów;2008-01-01;15791
Szczekociny;2008-01-01;8187
Tomaszów Mazowiecki miasto;2008-01-01;65935
Tomaszów Mazowiecki wiejski;2008-01-01;10174
Tuszyn;2008-01-01;11699
Ujazd;2008-01-01;7761
Warka;2008-01-01;18791
Wielgomłyny;2008-01-01;4814
Włodowice;2008-01-01;5289
Włoszczowa;2008-01-01;20304
Wola Krzysztoporska;2008-01-01;11619
Wolbórz;2008-01-01;
Wolbrom;2008-01-01;23396
Wyśmierzyce;2008-01-01;2843
Zagnańsk;2008-01-01;12777
Zawiercie;2008-01-01;52295
Żarnowiec;2008-01-01;4866
Żarnów;2008-01-01;6165
Żytno;2008-01-01;5553
Aleksandrów;2009-01-01;3219
Andrespol;2009-01-01;12317
Belsk Duży;2009-01-01;6749
Będków;2009-01-01;3467
Białaczów;2009-01-01;5929
Białobrzegi;2009-01-01;10472
Bliżyn;2009-01-01;8500
Błędów;2009-01-01;7772
Brójce;2009-01-01;5798
Budziszewice;2009-01-01;2154
Charsznica;2009-01-01;7668
Czarnocin;2009-01-01;4064
Czerniewice;2009-01-01;5109
Drzewica;2009-01-01;11020
Fałków;2009-01-01;4671
Gielniów;2009-01-01;4697
Głowaczów;2009-01-01;7251
Gorzkowice;2009-01-01;8638
Goszczyn;2009-01-01;3003
Gowarczów;2009-01-01;4752
Grabica;2009-01-01;6071
Grabów nad Pilicą;2009-01-01;3857
Inowłódz;2009-01-01;3868
Irządze;2009-01-01;2778
Kluczewsko;2009-01-01;5218
Klwów;2009-01-01;3446
Kobiele Wielkie;2009-01-01;4415
Kodrąb;2009-01-01;4754
Koluszki;2009-01-01;23264
Koniecpol;2009-01-01;10144
Końskie;2009-01-01;36208
Kozłów;2009-01-01;4966
Krasocin;2009-01-01;10704
Kroczyce;2009-01-01;6306
Lelów;2009-01-01;5107
Lubochnia;2009-01-01;7614
Łęki Szlacheckie;2009-01-01;3628
Łopuszno;2009-01-01;9007
Magnuszew;2009-01-01;6616
Masłowice;2009-01-01;4303
Mniów;2009-01-01;9287
Mniszków;2009-01-01;4717
Mogielnica;2009-01-01;9010
Moskorzew;2009-01-01;2879
Moszczenica;2009-01-01;12837
Niegowa;2009-01-01;5645
Nowe Miasto nad Pilicą;2009-01-01;8134
Nowosolna;2009-01-01;4254
Odrzywół;2009-01-01;3986
Ogrodzieniec;2009-01-01;9468
Opoczno;2009-01-01;35497
Paradyż;2009-01-01;4454
Pilica;2009-01-01;8957
Piotrków Trybunalski;2009-01-01;77810
Poświętne;2009-01-01;3279
Promna;2009-01-01;5619
Przedbórz;2009-01-01;7450
Przysucha;2009-01-01;12290
Radoszyce;2009-01-01;
Radzanów;2009-01-01;3873
Ręczno;2009-01-01;3587
Rokiciny;2009-01-01;5994
Rozprza;2009-01-01;12073
Ruda Maleniecka;2009-01-01;3226
Rusinów;2009-01-01;4379
Rzeczyca;2009-01-01;4865
Sadkowice;2009-01-01;5612
Secemin;2009-01-01;5012
Sławno;2009-01-01;7349
Słupia;2009-01-01;2620
Słupia Konecka;2009-01-01;3477
Smyków;2009-01-01;3711
Stąporków;2009-01-01;17979
Stromiec;2009-01-01;5611
Sulejów;2009-01-01;15926
Szczekociny;2009-01-01;8159
Tomaszów Mazowiecki miasto;2009-01-01;65586
Tomaszów Mazowiecki wiejski;2009-01-01;10248
Tuszyn;2009-01-01;11758
Ujazd;2009-01-01;7782
Warka;2009-01-01;18788
Wielgomłyny;2009-01-01;4790
Włodowice;2009-01-01;5289
Włoszczowa;2009-01-01;20276
Wola Krzysztoporska;2009-01-01;11617
Wolbórz;2009-01-01;
Wolbrom;2009-01-01;23395
Wyśmierzyce;2009-01-01;2842
Zagnańsk;2009-01-01;12797
Zawiercie;2009-01-01;51963
Żarnowiec;2009-01-01;4894
Żarnów;2009-01-01;6117
Żytno;2009-01-01;5515
Aleksandrów;2010-01-01;3260
Andrespol;2010-01-01;12675
Belsk Duży;2010-01-01;6688
Będków;2010-01-01;3449
Białaczów;2010-01-01;6044
Białobrzegi;2010-01-01;10447
Bliżyn;2010-01-01;8517
Błędów;2010-01-01;7835
Brójce;2010-01-01;5984
Budziszewice;2010-01-01;2260
Charsznica;2010-01-01;7748
Czarnocin;2010-01-01;4090
Czerniewice;2010-01-01;5204
Drzewica;2010-01-01;10975
Fałków;2010-01-01;4782
Gielniów;2010-01-01;4779
Głowaczów;2010-01-01;7514
Gorzkowice;2010-01-01;8698
Goszczyn;2010-01-01;2988
Gowarczów;2010-01-01;4729
Grabica;2010-01-01;6092
Grabów nad Pilicą;2010-01-01;3923
Inowłódz;2010-01-01;3929
Irządze;2010-01-01;2811
Kluczewsko;2010-01-01;5281
Klwów;2010-01-01;3535
Kobiele Wielkie;2010-01-01;4454
Kodrąb;2010-01-01;4786
Koluszki;2010-01-01;23553
Koniecpol;2010-01-01;10213
Końskie;2010-01-01;37109
Kozłów;2010-01-01;4868
Krasocin;2010-01-01;10842
Kroczyce;2010-01-01;6314
Lelów;2010-01-01;5071
Lubochnia;2010-01-01;7630
Łęki Szlacheckie;2010-01-01;3717
Łopuszno;2010-01-01;9060
Magnuszew;2010-01-01;6733
Masłowice;2010-01-01;4329
Mniów;2010-01-01;9393
Mniszków;2010-01-01;4762
Mogielnica;2010-01-01;9122
Moskorzew;2010-01-01;2820
Moszczenica;2010-01-01;12950
Niegowa;2010-01-01;5760
Nowe Miasto nad Pilicą;2010-01-01;8374
Nowosolna;2010-01-01;4222
Odrzywół;2010-01-01;4090
Ogrodzieniec;2010-01-01;9461
Opoczno;2010-01-01;35539
Paradyż;2010-01-01;4466
Pilica;2010-01-01;9014
Piotrków Trybunalski;2010-01-01;76881
Poświętne;2010-01-01;3324
Promna;2010-01-01;5708
Przedbórz;2010-01-01;7531
Przysucha;2010-01-01;12602
Radoszyce;2010-01-01;
Radzanów;2010-01-01;3949
Ręczno;2010-01-01;3643
Rokiciny;2010-01-01;6121
Rozprza;2010-01-01;12206
Ruda Maleniecka;2010-01-01;3289
Rusinów;2010-01-01;4417
Rzeczyca;2010-01-01;4876
Sadkowice;2010-01-01;5697
Secemin;2010-01-01;5002
Sławno;2010-01-01;7544
Słupia;2010-01-01;2699
Słupia Konecka;2010-01-01;3533
Smyków;2010-01-01;3761
Stąporków;2010-01-01;18206
Stromiec;2010-01-01;5758
Sulejów;2010-01-01;16110
Szczekociny;2010-01-01;8212
Tomaszów Mazowiecki miasto;2010-01-01;66173
Tomaszów Mazowiecki wiejski;2010-01-01;10485
Tuszyn;2010-01-01;11999
Ujazd;2010-01-01;7896
Warka;2010-01-01;19062
Wielgomłyny;2010-01-01;4871
Włodowice;2010-01-01;5279
Włoszczowa;2010-01-01;20362
Wola Krzysztoporska;2010-01-01;11733
Wolbórz;2010-01-01;
Wolbrom;2010-01-01;23566
Wyśmierzyce;2010-01-01;2851
Zagnańsk;2010-01-01;12879
Zawiercie;2010-01-01;52223
Żarnowiec;2010-01-01;4844
Żarnów;2010-01-01;6156
Żytno;2010-01-01;5466
Aleksandrów;2011-01-01;3268
Andrespol;2011-01-01;12834
Belsk Duży;2011-01-01;6673
Będków;2011-01-01;3410
Białaczów;2011-01-01;6038
Białobrzegi;2011-01-01;10410
Bliżyn;2011-01-01;8504
Błędów;2011-01-01;7794
Brójce;2011-01-01;6081
Budziszewice;2011-01-01;2254
Charsznica;2011-01-01;7693
Czarnocin;2011-01-01;4081
Czerniewice;2011-01-01;5191
Drzewica;2011-01-01;10919
Fałków;2011-01-01;4739
Gielniów;2011-01-01;4724
Głowaczów;2011-01-01;7510
Gorzkowice;2011-01-01;8682
Goszczyn;2011-01-01;2971
Gowarczów;2011-01-01;4751
Grabica;2011-01-01;6100
Grabów nad Pilicą;2011-01-01;3956
Inowłódz;2011-01-01;3924
Irządze;2011-01-01;2801
Kluczewsko;2011-01-01;5266
Klwów;2011-01-01;3505
Kobiele Wielkie;2011-01-01;4485
Kodrąb;2011-01-01;4762
Koluszki;2011-01-01;23632
Koniecpol;2011-01-01;10120
Końskie;2011-01-01;36923
Kozłów;2011-01-01;4798
Krasocin;2011-01-01;10824
Kroczyce;2011-01-01;6310
Lelów;2011-01-01;5061
Lubochnia;2011-01-01;7451
Łęki Szlacheckie;2011-01-01;3679
Łopuszno;2011-01-01;9059
Magnuszew;2011-01-01;6764
Masłowice;2011-01-01;4290
Mniów;2011-01-01;9399
Mniszków;2011-01-01;4718
Mogielnica;2011-01-01;9057
Moskorzew;2011-01-01;2790
Moszczenica;2011-01-01;12917
Niegowa;2011-01-01;5729
Nowe Miasto nad Pilicą;2011-01-01;8286
Nowosolna;2011-01-01;4345
Odrzywół;2011-01-01;4037
Ogrodzieniec;2011-01-01;9469
Opoczno;2011-01-01;35435
Paradyż;2011-01-01;4458
Pilica;2011-01-01;8955
Piotrków Trybunalski;2011-01-01;76505
Poświętne;2011-01-01;3311
Promna;2011-01-01;5663
Przedbórz;2011-01-01;7473
Przysucha;2011-01-01;12487
Radoszyce;2011-01-01;
Radzanów;2011-01-01;3916
Ręczno;2011-01-01;3631
Rokiciny;2011-01-01;6134
Rozprza;2011-01-01;12191
Ruda Maleniecka;2011-01-01;3289
Rusinów;2011-01-01;4393
Rzeczyca;2011-01-01;4848
Sadkowice;2011-01-01;5687
Secemin;2011-01-01;4981
Sławno;2011-01-01;7546
Słupia;2011-01-01;2694
Słupia Konecka;2011-01-01;3497
Smyków;2011-01-01;3763
Stąporków;2011-01-01;18066
Stromiec;2011-01-01;5775
Sulejów;2011-01-01;16242
Szczekociny;2011-01-01;8107
Tomaszów Mazowiecki miasto;2011-01-01;65834
Tomaszów Mazowiecki wiejski;2011-01-01;10562
Tuszyn;2011-01-01;12097
Ujazd;2011-01-01;7907
Warka;2011-01-01;19082
Wielgomłyny;2011-01-01;4826
Włodowice;2011-01-01;5281
Włoszczowa;2011-01-01;20289
Wola Krzysztoporska;2011-01-01;11772
Wolbórz;2011-01-01;7773
Wolbrom;2011-01-01;23504
Wyśmierzyce;2011-01-01;2858
Zagnańsk;2011-01-01;12900
Zawiercie;2011-01-01;51880
Żarnowiec;2011-01-01;4828
Żarnów;2011-01-01;6097
Żytno;2011-01-01;5425
Aleksandrów;2012-01-01;3259
Andrespol;2012-01-01;13002
Belsk Duży;2012-01-01;6641
Będków;2012-01-01;3374
Białaczów;2012-01-01;5944
Białobrzegi;2012-01-01;10426
Bliżyn;2012-01-01;8434
Błędów;2012-01-01;7722
Brójce;2012-01-01;6171
Budziszewice;2012-01-01;2256
Charsznica;2012-01-01;7692
Czarnocin;2012-01-01;4098
Czerniewice;2012-01-01;5179
Drzewica;2012-01-01;10845
Fałków;2012-01-01;4716
Gielniów;2012-01-01;4662
Głowaczów;2012-01-01;7460
Gorzkowice;2012-01-01;8671
Goszczyn;2012-01-01;3000
Gowarczów;2012-01-01;4748
Grabica;2012-01-01;6086
Grabów nad Pilicą;2012-01-01;3952
Inowłódz;2012-01-01;3921
Irządze;2012-01-01;2808
Kluczewsko;2012-01-01;5265
Klwów;2012-01-01;3479
Kobiele Wielkie;2012-01-01;4487
Kodrąb;2012-01-01;4700
Koluszki;2012-01-01;23696
Koniecpol;2012-01-01;9998
Końskie;2012-01-01;36727
Kozłów;2012-01-01;4756
Krasocin;2012-01-01;10805
Kroczyce;2012-01-01;6333
Lelów;2012-01-01;5012
Lubochnia;2012-01-01;7260
Łęki Szlacheckie;2012-01-01;3646
Łopuszno;2012-01-01;9080
Magnuszew;2012-01-01;6805
Masłowice;2012-01-01;4274
Mniów;2012-01-01;9387
Mniszków;2012-01-01;4728
Mogielnica;2012-01-01;9008
Moskorzew;2012-01-01;2747
Moszczenica;2012-01-01;12910
Niegowa;2012-01-01;5707
Nowe Miasto nad Pilicą;2012-01-01;8188
Nowosolna;2012-01-01;4491
Odrzywół;2012-01-01;4028
Ogrodzieniec;2012-01-01;9451
Opoczno;2012-01-01;35314
Paradyż;2012-01-01;4453
Pilica;2012-01-01;8924
Piotrków Trybunalski;2012-01-01;76404
Poświętne;2012-01-01;3316
Promna;2012-01-01;5648
Przedbórz;2012-01-01;7455
Przysucha;2012-01-01;12443
Radoszyce;2012-01-01;
Radzanów;2012-01-01;3908
Ręczno;2012-01-01;3608
Rokiciny;2012-01-01;6193
Rozprza;2012-01-01;12241
Ruda Maleniecka;2012-01-01;3268
Rusinów;2012-01-01;4391
Rzeczyca;2012-01-01;4811
Sadkowice;2012-01-01;5654
Secemin;2012-01-01;4950
Sławno;2012-01-01;7531
Słupia;2012-01-01;2717
Słupia Konecka;2012-01-01;3456
Smyków;2012-01-01;3775
Stąporków;2012-01-01;18028
Stromiec;2012-01-01;5738
Sulejów;2012-01-01;16268
Szczekociny;2012-01-01;8089
Tomaszów Mazowiecki miasto;2012-01-01;65454
Tomaszów Mazowiecki wiejski;2012-01-01;10651
Tuszyn;2012-01-01;12124
Ujazd;2012-01-01;7917
Warka;2012-01-01;19133
Wielgomłyny;2012-01-01;4811
Włodowice;2012-01-01;5289
Włoszczowa;2012-01-01;20185
Wola Krzysztoporska;2012-01-01;11832
Wolbórz;2012-01-01;7753
Wolbrom;2012-01-01;23477
Wyśmierzyce;2012-01-01;2846
Zagnańsk;2012-01-01;12916
Zawiercie;2012-01-01;51688
Żarnowiec;2012-01-01;4790
Żarnów;2012-01-01;6103
Żytno;2012-01-01;5399
Aleksandrów;2013-01-01;3240
Andrespol;2013-01-01;13180
Belsk Duży;2013-01-01;6620
Będków;2013-01-01;3339
Białaczów;2013-01-01;5936
Białobrzegi;2013-01-01;10375
Bliżyn;2013-01-01;8392
Błędów;2013-01-01;7687
Brójce;2013-01-01;6217
Budziszewice;2013-01-01;2253
Charsznica;2013-01-01;7669
Czarnocin;2013-01-01;4143
Czerniewice;2013-01-01;5172
Drzewica;2013-01-01;10815
Fałków;2013-01-01;4634
Gielniów;2013-01-01;4650
Głowaczów;2013-01-01;7409
Gorzkowice;2013-01-01;8606
Goszczyn;2013-01-01;2988
Gowarczów;2013-01-01;4760
Grabica;2013-01-01;6127
Grabów nad Pilicą;2013-01-01;3950
Inowłódz;2013-01-01;3900
Irządze;2013-01-01;2786
Kluczewsko;2013-01-01;5252
Klwów;2013-01-01;3484
Kobiele Wielkie;2013-01-01;4512
Kodrąb;2013-01-01;4712
Koluszki;2013-01-01;23639
Koniecpol;2013-01-01;9897
Końskie;2013-01-01;36450
Kozłów;2013-01-01;4734
Krasocin;2013-01-01;10819
Kroczyce;2013-01-01;6352
Lelów;2013-01-01;4988
Lubochnia;2013-01-01;7190
